Código;Capítulo;Subcapítulo;Residuo
02 05 01;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";05 | Residuos de la industria de productos lácteos;02 05 01 | Materiales inadecuados para el consumo o la elaboración
02 05 02;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";05 | Residuos de la industria de productos lácteos;02 05 02 | Lodos del tratamiento in situ de efluentes
02 05 99;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";05 | Residuos de la industria de productos lácteos;02 05 99 | Residuos no especificados en otra categoría
02 06 01;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";06 | Residuos de la industria de panadería y pastelería;02 06 01 | Materiales inadecuados para el consumo o la elaboración
02 06 02;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";06 | Residuos de la industria de panadería y pastelería;02 06 02 | Residuos de conservantes
02 06 03;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";06 | Residuos de la industria de panadería y pastelería;02 06 03 | Lodos del tratamiento in situ de efluentes
02 06 99;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";06 | Residuos de la industria de panadería y pastelería;02 06 99 | Residuos no especificados en otra categoría
02 07 01;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";07 | Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao);02 07 01 | Residuos de lavado, limpieza y reducción mecánica de materias primas
02 07 02;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";07 | Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao);02 07 02 | Residuos de la destilación de alcoholes
02 07 03;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";07 | Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao);02 07 03 | Residuos del tratamiento químico
02 07 04;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";07 | Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao);02 07 04 | Materiales inadecuados para el consumo o la elaboración
02 07 05;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";07 | Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao);02 07 05 | Lodos del tratamiento in situ de efluentes
02 07 99;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";07 | Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao);02 07 99 | Residuos no especificados en otra categoría
03 01 01;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;01 | Residuos de la transformación de la madera y de la producción de tableros y muebles;03 01 01 | Residuos de corteza y corcho
03 01 05;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;01 | Residuos de la transformación de la madera y de la producción de tableros y muebles;03 01 05 | Serrín, virutas, recortes, madera, tableros de partículas y chapas distintos de los mencionados en el código 03 01 04
03 01 99;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;01 | Residuos de la transformación de la madera y de la producción de tableros y muebles;03 01 99 | Residuos no especificados en otra categoría
03 02 99;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;02 | Residuos de los tratamientos de conservación de la madera;03 02 99 | Conservantes de la madera no especificados en otra categoría
03 03 01;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;03 03 01 | Residuos de corteza y madera
03 03 02;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;03 03 02 | Lodos de lejías verdes (procedentes de la recuperación de lejías de cocción)
03 03 05;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;03 03 05 | Lodos de destintado procedentes del reciclado de papel
03 03 07;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;03 03 07 | Desechos, separados mecánicamente, de pasta elaborada a partir de residuos de papel y cartón
03 03 08;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;03 03 08 | Residuos procedentes de la clasificación de papel y cartón destinados al reciclado
03 03 09;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;03 03 09 | Residuos de lodos calizos
03 03 10;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;03 03 10 | Desechos de fibras y lodos de fibras, de materiales de carga y de estucado, obtenidos por separación mecánica
03 03 11;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;03 03 11 | Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 03 03 10
03 03 99;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;03 03 99 | Residuos no especificados en otra categoría
04 01 01;04 | Residuos de las industrias del cuero, de la piel y textil;01 | Residuos de las industrias del cuero y de la piel;04 01 01 | Carnazas y serrajes de encalado
04 01 02;04 | Residuos de las industrias del cuero, de la piel y textil;01 | Residuos de las industrias del cuero y de la piel;04 01 02 | Residuos de encalado
04 01 04;04 | Residuos de las industrias del cuero, de la piel y textil;01 | Residuos de las industrias del cuero y de la piel;04 01 04 | Residuos líquidos de curtición que contienen cromo
04 01 05;04 | Residuos de las industrias del cuero, de la piel y textil;01 | Residuos de las industrias del cuero y de la piel;04 01 05 | Residuos líquidos de curtición que no contienen cromo
04 01 06;04 | Residuos de las industrias del cuero, de la piel y textil;01 | Residuos de las industrias del cuero y de la piel;04 01 06 | Lodos, en particular los procedentes del tratamiento in situ de efluentes, que contienen cromo
04 01 07;04 | Residuos de las industrias del cuero, de la piel y textil;01 | Residuos de las industrias del cuero y de la piel;04 01 07 | Lodos, en particular los procedentes del tratamiento in situ de efluentes, que no contienen cromo
04 01 08;04 | Residuos de las industrias del cuero, de la piel y textil;01 | Residuos de las industrias del cuero y de la piel;04 01 08 | Residuos de piel curtida (serrajes, rebajaduras, recortes y polvo de esmerilado) que contienen cromo
04 01 09;04 | Residuos de las industrias del cuero, de la piel y textil;01 | Residuos de las industrias del cuero y de la piel;04 01 09 | Residuos de confección y acabado
04 01 99;04 | Residuos de las industrias del cuero, de la piel y textil;01 | Residuos de las industrias del cuero y de la piel;04 01 99 | Residuos no especificados en otra categoría
04 02 09;04 | Residuos de las industrias del cuero, de la piel y textil;02 | Residuos de la industria textil;04 02 09 | Residuos de materiales compuestos (textiles impregnados, elastómeros, plastómeros)
04 02 10;04 | Residuos de las industrias del cuero, de la piel y textil;02 | Residuos de la industria textil;04 02 10 | Materia orgánica de productos naturales (por ejemplo grasa, cera)
04 02 15;04 | Residuos de las industrias del cuero, de la piel y textil;02 | Residuos de la industria textil;04 02 15 | Residuos del acabado distintos de los especificados en el código 04 02 14
04 02 17;04 | Residuos de las industrias del cuero, de la piel y textil;02 | Residuos de la industria textil;04 02 17 | Colorantes y pigmentos distintos de los mencionados en el código 04 02 16
04 02 20;04 | Residuos de las industrias del cuero, de la piel y textil;02 | Residuos de la industria textil;04 02 20 | Lodos del tratamiento in situ de efluentes, distintos de los mencionados en el código 04 02 19
04 02 21;04 | Residuos de las industrias del cuero, de la piel y textil;02 | Residuos de la industria textil;04 02 21 | Residuos de fibras textiles no procesadas
04 02 22;04 | Residuos de las industrias del cuero, de la piel y textil;02 | Residuos de la industria textil;04 02 22 | Residuos de fibras textiles procesadas
04 02 99;04 | Residuos de las industrias del cuero, de la piel y textil;02 | Residuos de la industria textil;04 02 99 | Residuos no especificados en otra categoría
05 01 10;05 | Residuos del refino de petróleo, purificación del gas natural y tratamiento pirolítico del carbón;01 | Residuos del refino de petróleo;05 01 10 | Lodos del tratamiento in situ de efluentes, distintos de los mencionados en el código 05 01 09
05 01 13;05 | Residuos del refino de petróleo, purificación del gas natural y tratamiento pirolítico del carbón;01 | Residuos del refino de petróleo;05 01 13 | Lodos procedentes del agua de alimentación de calderas
05 01 14;05 | Residuos del refino de petróleo, purificación del gas natural y tratamiento pirolítico del carbón;01 | Residuos del refino de petróleo;05 01 14 | Residuos de columnas de refrigeración
05 01 16;05 | Residuos del refino de petróleo, purificación del gas natural y tratamiento pirolítico del carbón;01 | Residuos del refino de petróleo;05 01 16 | Residuos que contienen azufre procedentes de la desulfuración del petróleo
05 01 17;05 | Residuos del refino de petróleo, purificación del gas natural y tratamiento pirolítico del carbón;01 | Residuos del refino de petróleo;05 01 17 | Betunes
05 01 99;05 | Residuos del refino de petróleo, purificación del gas natural y tratamiento pirolítico del carbón;01 | Residuos del refino de petróleo;05 01 99 | Residuos no especificados en otra categoría
05 06 04;05 | Residuos del refino de petróleo, purificación del gas natural y tratamiento pirolítico del carbón;06 | Residuos del tratamiento pirolítico del carbón;05 06 04 | Residuos de columnas de refrigeración
05 06 99;05 | Residuos del refino de petróleo, purificación del gas natural y tratamiento pirolítico del carbón;06 | Residuos del tratamiento pirolítico del carbón;05 06 99 | Residuos no especificados en otra categoría
05 07 02;05 | Residuos del refino de petróleo, purificación del gas natural y tratamiento pirolítico del carbón;07 | Residuos de la purificación y transporte de gas natural;05 07 02 | Residuos que contienen azufre
05 07 99;05 | Residuos del refino de petróleo, purificación del gas natural y tratamiento pirolítico del carbón;07 | Residuos de la purificación y transporte de gas natural;05 07 99 | Residuos no especificados en otra categoría
06 01 99;06 | Residuos de procesos químicos inorgánicos;01 | Residuos de la fabricación, formulación, distribución y utilización (FFDU) de ácidos;06 01 99 | Residuos no especificados en otra categoría
06 02 99;06 | Residuos de procesos químicos inorgánicos;02 | Residuos de la FFDU de bases;06 02 99 | Residuos no especificados en otra categoría
06 03 14;06 | Residuos de procesos químicos inorgánicos;03 | Residuos de la FFDU de sales y sus soluciones y de óxidos metálicos;06 03 14 | Sales sólidas y soluciones distintas de las mencionadas en los códigos 06 03 11 y 06 03 13
06 03 16;06 | Residuos de procesos químicos inorgánicos;03 | Residuos de la FFDU de sales y sus soluciones y de óxidos metálicos;06 03 16 | Oxidos metálicos distintos de los mencionados en el código 06 03 15
06 03 99;06 | Residuos de procesos químicos inorgánicos;03 | Residuos de la FFDU de sales y sus soluciones y de óxidos metálicos;06 03 99 | Residuos no especificados en otra categoría
06 04 99;06 | Residuos de procesos químicos inorgánicos;04 | Residuos que contienen metales distintos de los mencionados en el código 06 03;06 04 99 | Residuos no especificados en otra categoría
06 05 03;06 | Residuos de procesos químicos inorgánicos;05 | Lodos del tratamiento in situ de efluentes;06 05 03 | Lodos del tratamiento in situ de efluentes, distintos de los mencionados en el código 06 05 02
06 06 03;06 | Residuos de procesos químicos inorgánicos;06 | Residuos de la FFDU de productos químicos que contienen azufre, de procesos químicos del azufre y de procesos de desulfuración;06 06 03 | Residuos que contienen sulfuros distintos de los mencionados en el código 06 06 02
06 06 99;06 | Residuos de procesos químicos inorgánicos;06 | Residuos de la FFDU de productos químicos que contienen azufre, de procesos químicos del azufre y de procesos de desulfuración;06 06 99 | Residuos no especificados en otra categoría
06 07 99;06 | Residuos de procesos químicos inorgánicos;07 | Residuos de la FFDU de halógenos y de procesos químicos de los halógenos;06 07 99 | Residuos no especificados en otra categoría
06 08 99;06 | Residuos de procesos químicos inorgánicos;08 | Residuos de la FFDU del silicio y sus derivados;06 08 99 | Residuos no especificados en otra categoría
06 09 02;06 | Residuos de procesos químicos inorgánicos;09 | Residuos de la FFDU de productos químicos que contienen fósforo y procesos químicos del fósforo;06 09 02 | Escorias de fósforo
06 09 04;06 | Residuos de procesos químicos inorgánicos;09 | Residuos de la FFDU de productos químicos que contienen fósforo y procesos químicos del fósforo;06 09 04 | Residuos cálcicos de reacción distintos de los mencionados en el código 06 09 03
06 09 99;06 | Residuos de procesos químicos inorgánicos;09 | Residuos de la FFDU de productos químicos que contienen fósforo y procesos químicos del fósforo;06 09 99 | Residuos no especificados en otra categoría
06 10 99;06 | Residuos de procesos químicos inorgánicos;10 | Residuos de la FFDU de productos químicos que contienen nitrógeno y procesos químicos del nitrógeno y de la fabricación de fertilizantes;06 10 99 | Residuos no especificados en otra categoría
06 11 01;06 | Residuos de procesos químicos inorgánicos;11 | Residuos de la fabricación de pigmentos inorgánicos y opacificantes;06 11 01 | Residuos cálcicos de reacción procedentes de la producción de dióxido de titanio
06 11 99;06 | Residuos de procesos químicos inorgánicos;11 | Residuos de la fabricación de pigmentos inorgánicos y opacificantes;06 11 99 | Residuos no especificados en otra categoría
06 13 03;06 | Residuos de procesos químicos inorgánicos;13 | Residuos de procesos químicos inorgánicos no especificados en otra categoría;06 13 03 | Negro de carbón
06 13 99;06 | Residuos de procesos químicos inorgánicos;13 | Residuos de procesos químicos inorgánicos no especificados en otra categoría;06 13 99 | Residuos no especificados en otra categoría
07 01 12;07 | Residuos de procesos químicos orgánicos;01 | Residuos de la fabricación, formulación, distribución y utilización (FFDU) de productos químicos orgánicos de base;07 01 12 | Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 07 01 11
07 01 99;07 | Residuos de procesos químicos orgánicos;01 | Residuos de la fabricación, formulación, distribución y utilización (FFDU) de productos químicos orgánicos de base;07 01 99 | Residuos no especificados en otra categoría
07 02 12;07 | Residuos de procesos químicos orgánicos;02 | Residuos de la FFDU de plásticos, caucho sintético y fibras artificiales;07 02 12 | Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 07 02 11
07 02 13;07 | Residuos de procesos químicos orgánicos;02 | Residuos de la FFDU de plásticos, caucho sintético y fibras artificiales;07 02 13 | Residuos de plástico
07 02 15;07 | Residuos de procesos químicos orgánicos;02 | Residuos de la FFDU de plásticos, caucho sintético y fibras artificiales;07 02 15 | Residuos procedentes de aditivos distintos de los especificados en el código 07 02 14
07 02 17;07 | Residuos de procesos químicos orgánicos;02 | Residuos de la FFDU de plásticos, caucho sintético y fibras artificiales;07 02 17 | Residuos que contengan siliconas distintas de las especificadas en el código 07 02 16
07 02 99;07 | Residuos de procesos químicos orgánicos;02 | Residuos de la FFDU de plásticos, caucho sintético y fibras artificiales;07 02 99 | Residuos no especificados en otra categoría
07 03 12;07 | Residuos de procesos químicos orgánicos;03 | Residuos de la FFDU de tintes y pigmentos orgánicos (excepto los del subcapítulo 06 11);07 03 12 | Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 07 03 11
07 03 99;07 | Residuos de procesos químicos orgánicos;03 | Residuos de la FFDU de tintes y pigmentos orgánicos (excepto los del subcapítulo 06 11);07 03 99 | Residuos no especificados en otra categoría
07 04 12;07 | Residuos de procesos químicos orgánicos;04 | Residuos de la FFDU de productos fitosanitarios orgánicos (excepto los de los códigos 02 01 08 y 02 01 09), de conservantes de la madera (excepto los del subcapítulo 03 02) y de otros biocidas;07 04 12 | Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 07 04 11
07 04 99;07 | Residuos de procesos químicos orgánicos;04 | Residuos de la FFDU de productos fitosanitarios orgánicos (excepto los de los códigos 02 01 08 y 02 01 09), de conservantes de la madera (excepto los del subcapítulo 03 02) y de otros biocidas;07 04 99 | Residuos no especificados en otra categoría
07 05 12;07 | Residuos de procesos químicos orgánicos;05 | Residuos de la FFDU de productos farmacéuticos;07 05 12 | Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 07 05 11
07 05 14;07 | Residuos de procesos químicos orgánicos;05 | Residuos de la FFDU de productos farmacéuticos;07 05 14 | Residuos sólidos distintos de los especificados en el código 07 05 13
07 05 99;07 | Residuos de procesos químicos orgánicos;05 | Residuos de la FFDU de productos farmacéuticos;07 05 99 | Residuos no especificados en otra categoría
07 06 12;07 | Residuos de procesos químicos orgánicos;06 | Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosméticos;07 06 12 | Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 07 06 11
07 06 99;07 | Residuos de procesos químicos orgánicos;06 | Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosméticos;07 06 99 | Residuos no especificados en otra categoría
07 07 12;07 | Residuos de procesos químicos orgánicos;07 | Residuos de la FFDU de productos químicos resultantes de la química fina y productos químicos no especificados en otra categoría;07 07 12 | Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 07 07 11
07 07 99;07 | Residuos de procesos químicos orgánicos;07 | Residuos de la FFDU de productos químicos resultantes de la química fina y productos químicos no especificados en otra categoría;07 07 99 | Residuos no especificados en otra categoría
08 01 12;08 | Residuos de la fabricación, formulación, distribución y utilización (FFDU) de revestimientos (pinturas, barnices y esmaltes vítreos), adhesivos, sellantes y tintas de impresión;01 | Residuos de la FFDU y del decapado o eliminación de pintura y barniz;08 01 12 | Residuos de pintura y barniz, distintos de los especificados en el código 08 01 11
08 01 14;08 | Residuos de la fabricación, formulación, distribución y utilización (FFDU) de revestimientos (pinturas, barnices y esmaltes vítreos), adhesivos, sellantes y tintas de impresión;01 | Residuos de la FFDU y del decapado o eliminación de pintura y barniz;08 01 14 | Lodos de pintura y barniz, distintos de los especificados en el código 08 01 13
08 01 16;08 | Residuos de la fabricación, formulación, distribución y utilización (FFDU) de revestimientos (pinturas, barnices y esmaltes vítreos), adhesivos, sellantes y tintas de impresión;01 | Residuos de la FFDU y del decapado o eliminación de pintura y barniz;08 01 16 | Lodos acuosos que contienen pintura o barniz, distintos de los especificados en el código 08 01 15
